merge_key,violation_count,weighted_violations,center_lat,center_lon,police_station,junction_name,night_count,night_ratio,zone_criticality,recurrence_rate,impact_score,impact_score_log,impact_score_norm,rank,priority_tier
"BTP163 - 16th Main Road, BTM Layout",364,495.5,12.91499527445055,77.60852014148351,Mico Layout,"BTP163 - 16th Main Road, BTM Layout",153,42.0,3,1.01,1501.36,7.314792484031414,41.9,146,Medium
Sheshadripuram_12.996_77.562,477,563.0,12.996300149266247,77.56312364800839,Sheshadripuram,No Junction,357,74.8,2,1.324,1490.82,7.307752130054067,41.9,147,Medium
K.R. Pura_13.011000000000001_77.697,389,697.5,13.010299459820052,77.69749233434447,K.R. Pura,No Junction,177,45.5,2,1.079,1505.2,7.317345201667251,41.9,148,Medium
Yelahanka_13.098_77.598,347,768.5,13.097817561757692,77.59877154903883,Yelahanka,No Junction,56,16.1,2,0.963,1480.13,7.300560588943511,41.8,149,Medium
Halasur_12.975_77.616,338,785.0,12.974072823372781,77.61501808461539,Halasur,No Junction,121,35.8,2,0.938,1472.66,7.2955043812845215,41.8,150,Medium
Jeevanbheemanagar_12.969_77.646,415,640.5,12.970312018892825,77.64616206417854,Jeevanbheemanagar,No Junction,224,54.0,2,1.152,1475.71,7.297571919312965,41.8,151,Medium
Mahadevapura_12.978_77.694,327,808.5,12.979077000774444,77.69500497905746,Mahadevapura,No Junction,119,36.4,2,0.907,1466.62,7.2913973200797395,41.7,152,Medium
"BTP115 - Sahasra Hospital, Jayanagar",362,486.0,12.91728404702033,77.5738125694776,Jayanagara,"BTP115 - Sahasra Hospital, Jayanagar",135,37.3,3,1.004,1463.83,7.289494473762264,41.7,153,Medium
BTP219 - Canara Bank Junction,358,487.0,12.931167219553071,77.58453701256984,Jayanagara,BTP219 - Canara Bank Junction,260,72.6,3,0.993,1450.77,7.280538780633931,41.7,154,Medium
Whitefield_12.951_77.718,385,685.5,12.951412021556402,77.7174896806303,Whitefield,No Junction,224,58.2,2,1.068,1464.23,7.289767505715524,41.7,155,Medium
"BTP117 - 9th Cross, Kanakapura Road",307,565.5,12.91214845732899,77.57334888045604,J.P. Nagar,"BTP117 - 9th Cross, Kanakapura Road",22,7.2,3,0.852,1445.42,7.276846816975942,41.6,156,Medium
Ashok Nagar_12.969_77.607,487,532.5,12.96988353150186,77.60668093370246,Ashok Nagar,No Junction,138,28.3,2,1.351,1438.82,7.272273384756895,41.6,157,Medium
BTP041 - Gopal Gowda Circle,378,454.0,12.977295857671956,77.59026518835978,Cubbon Park,BTP041 - Gopal Gowda Circle,145,38.4,3,1.049,1428.74,7.2652478885412055,41.5,158,Medium
Byatarayanapura_12.96_77.529,498,517.0,12.960917440443408,77.52791874465612,Byatarayanapura,No Junction,165,33.1,2,1.382,1428.99,7.265422730222509,41.5,159,Medium
Electronic City_12.870000000000001_77.655,391,636.0,12.870508908340383,77.65456141555121,Electronic City,No Junction,134,34.3,2,1.085,1380.12,7.2306500431896605,41.3,160,Medium
Sheshadripuram_12.987_77.574,383,651.5,12.986826308355091,77.57439693394255,Sheshadripuram,No Junction,119,31.1,2,1.063,1385.09,7.2342421127065935,41.3,161,Medium
Banaswadi_12.996_77.67,363,683.5,12.99670179060902,77.66909633578214,Banaswadi,No Junction,164,45.2,2,1.007,1376.57,7.22807635643286,41.3,162,Medium
Malleshwaram_12.993_77.571,402,580.0,12.993636159950249,77.57137111467662,Malleshwaram,No Junction,340,84.6,2,1.115,1293.4,7.165802546304227,40.8,163,Medium
Banaswadi_13.002_77.676,355,660.5,13.000758359884117,77.67683561341092,Banaswadi,No Junction,199,56.1,2,0.985,1301.18,7.17179506206095,40.8,164,Medium
HAL Old Airport_12.936_77.694,320,697.5,12.936484408186615,77.6928425278624,HAL Old Airport,No Junction,72,22.5,2,0.888,1238.76,7.122673091479079,40.5,165,Medium
Ashok Nagar_12.972_77.607,376,585.0,12.971943618610853,77.6070469800266,Ashok Nagar,No Junction,120,31.9,2,1.043,1220.31,7.107679332139918,40.3,166,Medium
Banaswadi_12.993_77.661,391,548.5,12.993244931969311,77.66169416342711,Banaswadi,No Junction,180,46.0,2,1.085,1190.24,7.082750060389631,40.2,167,Medium
BTP218 - Syndicate Bank Junction,351,407.5,12.934673374928776,77.58443592279203,Jayanagara,BTP218 - Syndicate Bank Junction,219,62.4,3,0.974,1190.71,7.083144529435221,40.2,168,Medium
Yelahanka_13.098_77.601,377,573.0,13.097026283289125,77.59966572519893,Yelahanka,No Junction,5,1.3,2,1.046,1198.72,7.089843475216301,40.2,169,Medium
Banaswadi_12.996_77.667,345,623.0,12.996101446281337,77.6680111885871,Banaswadi,No Junction,161,46.7,2,0.957,1192.42,7.084578413787842,40.2,170,Medium
Hulimavu_12.894_77.637,340,630.5,12.89318690617647,77.63706182735294,Hulimavu,No Junction,52,15.3,2,0.943,1189.12,7.081809421357664,40.1,171,Medium
Bellandur_12.927_77.682,258,812.0,12.927694568180824,77.6807470613082,Bellandur,No Junction,103,39.9,2,0.716,1162.78,7.059428606991557,40.0,172,Medium
BTP180 - Swagath Poornima Theatre,261,540.0,12.96046395210728,77.58731793409962,Halasuru Gate,BTP180 - Swagath Poornima Theatre,107,41.0,3,0.724,1172.88,7.068069780513002,40.0,173,Medium
BTP109 - Dewan Madhava Rao Junction,309,446.0,12.940864320388348,77.57243474530745,Basavanagudi,BTP109 - Dewan Madhava Rao Junction,163,52.8,3,0.857,1146.67,7.045489079109995,39.9,174,Medium
Byatarayanapura_12.936_77.517,362,572.5,12.935952333425414,77.5178104621547,Byatarayanapura,No Junction,183,50.6,2,1.004,1149.58,7.0480214420427645,39.9,175,Medium
Halasur_12.975_77.622,320,643.0,12.974041499405635,77.62278064723753,Halasur,No Junction,103,32.2,2,0.888,1141.97,7.0413854167312,39.8,176,Medium
BTP155 - Katriguppe Junction,339,394.0,12.9266994100295,77.55074285663717,Banashankari,BTP155 - Katriguppe Junction,184,54.3,3,0.941,1112.26,7.015047926869754,39.6,177,Medium
BTP078 - NR Square Junction,244,548.0,12.965873413934425,77.5854067954918,Halasuru Gate,BTP078 - NR Square Junction,166,68.0,3,0.677,1112.99,7.015703443786257,39.6,178,Medium
Jeevanbheemanagar_12.972_77.646,341,575.5,12.971205942647325,77.64703322864115,Jeevanbheemanagar,No Junction,214,62.8,2,0.946,1088.85,6.993795351074522,39.5,179,Medium
HAL Old Airport_12.945_77.697,279,682.0,12.944565723378982,77.69789216822284,HAL Old Airport,No Junction,160,57.3,2,0.774,1055.74,6.962943976426019,39.2,180,Medium
BTP220 - Puttanna Junction,294,419.5,12.928844605442176,77.58282851292518,Jayanagara,BTP220 - Puttanna Junction,179,60.9,3,0.816,1026.94,6.935312078553008,39.0,181,Medium
Halasur_12.975_77.619,306,605.0,12.974907048067637,77.61998859291118,Halasur,No Junction,163,53.3,2,0.849,1027.29,6.935652507399373,39.0,182,Medium
Shivajinagar_12.984_77.613,341,532.5,12.982657755131964,77.61212472346041,Shivajinagar,No Junction,218,63.9,2,0.946,1007.49,6.916209441628695,38.9,183,Medium
HAL Old Airport_12.957_77.715,274,657.5,12.957106783964868,77.71519636017264,HAL Old Airport,No Junction,139,50.7,2,0.76,999.4,6.908155199003464,38.8,184,Medium
HSR Layout_12.912_77.625,272,657.5,12.912546255526813,77.62577419278661,HSR Layout,No Junction,83,30.5,2,0.755,992.82,6.901556103739316,38.8,185,Medium
BTP098 - Nayandahalli Junction,206,577.5,12.944823567475726,77.52768460776699,Byatarayanapura,BTP098 - Nayandahalli Junction,73,35.4,3,0.572,990.99,6.899713026588901,38.8,186,Medium
Electronic City_12.84_77.676,361,489.0,12.840656086155514,77.67674396905358,Electronic City,No Junction,179,49.6,2,1.002,979.96,6.888531684014378,38.7,187,Medium
BTP120 - Lalbagh Main Gate Junction,244,472.0,12.954084420901639,77.58441278032787,City Market,BTP120 - Lalbagh Main Gate Junction,140,57.4,3,0.677,958.63,6.8665477935031225,38.5,188,Medium
Basavanagudi_12.942_77.568,342,497.5,12.94196231609986,77.56721835363201,Basavanagudi,No Junction,132,38.6,2,0.949,944.26,6.851460021926932,38.4,189,Medium
"BTP197 - 9th Cross, 24th Main, JP Nagar",284,394.5,12.911549545221384,77.58599000264428,J.P. Nagar,"BTP197 - 9th Cross, 24th Main, JP Nagar",135,47.5,3,0.788,932.6,6.839048080972346,38.3,190,Medium
Halasur_12.975_77.613,259,624.5,12.973787315057914,77.61410847528957,Halasur,No Junction,102,39.4,2,0.719,898.03,6.801316404326409,38.0,191,Medium
Byatarayanapura_12.957_77.52,338,475.5,12.957359905325443,77.51891298461538,Byatarayanapura,No Junction,111,32.8,2,0.938,892.04,6.794631372706477,38.0,192,Medium
Yeshwanthpura_13.032_77.535,310,524.5,13.03105143736395,77.53571759497885,Yeshwanthpura,No Junction,148,47.7,2,0.86,902.14,6.805877580159409,38.0,193,Medium
BTP037 - KR Circle,239,448.5,12.976534570711298,77.58653865523013,Cubbon Park,BTP037 - KR Circle,146,61.1,3,0.663,892.07,6.79466496526237,38.0,194,Medium
BTP225 - Geetha Junction,287,361.5,12.928338116027875,77.58587362578398,Jayanagara,BTP225 - Geetha Junction,213,74.2,3,0.796,863.26,6.761873649460856,37.7,195,Medium
BTP100 - Richmond Circle,304,341.0,12.962800310526315,77.59827016480263,Ashok Nagar,BTP100 - Richmond Circle,122,40.1,3,0.844,863.41,6.762047193283999,37.7,196,Medium
BTP214 - 5th Main Chamrajpet  Junction,252,394.5,12.96500902960007,77.55255323659712,Chamarajpet,BTP214 - 5th Main Chamrajpet  Junction,125,49.6,3,0.699,827.27,6.719339188186985,37.4,197,Medium
Kodigehalli_13.059000000000001_77.592,300,494.5,13.05840835166888,77.5922862487354,Kodigehalli,No Junction,92,30.7,2,0.832,822.85,6.713988474503441,37.3,198,Medium
Jeevanbheemanagar_12.978_77.64,332,446.5,12.978207287536696,77.6397217722356,Jeevanbheemanagar,No Junction,218,65.7,2,0.921,822.45,6.713502831320217,37.3,199,Medium
Shivajinagar_12.99_77.598,303,481.5,12.989146370627063,77.59912067227722,Shivajinagar,No Junction,132,43.6,2,0.841,809.88,6.698120077692719,37.2,200,Medium
BTP009 - Prakash Nagar Junction,262,362.5,12.992517874427481,77.55763266068702,Rajajinagar,BTP009 - Prakash Nagar Junction,68,26.0,3,0.727,790.61,6.674068846291369,37.0,201,Medium
"BTP188 - 27th Cross, 4th Main, Jayanagar",294,318.5,12.929681475170067,77.5805690537415,Jayanagara,"BTP188 - 27th Cross, 4th Main, Jayanagar",236,80.3,3,0.816,779.69,6.660178144026661,36.9,202,Medium
Mico Layout_12.93_77.607,353,391.0,12.930878679886685,77.60657333172804,Mico Layout,No Junction,79,22.4,2,0.979,765.58,6.641939063380975,36.8,203,Medium
Kodigehalli_13.071_77.592,293,469.5,13.071369249131678,77.59212847638226,Kodigehalli,No Junction,147,50.2,2,0.813,763.41,6.639104294436486,36.8,204,Medium
HAL Old Airport_12.939_77.7,284,477.0,12.937873136876227,77.69991635581906,HAL Old Airport,No Junction,206,72.5,2,0.788,751.75,6.623733167361843,36.7,205,Medium
BTP075 - Police Corner,188,461.0,12.968845718276503,77.58628269328581,Halasuru Gate,BTP075 - Police Corner,141,75.0,3,0.522,721.93,6.583312398661009,36.3,206,Medium
Pulikeshinagar(F.Town)_12.996_77.616,265,472.0,12.995493770566037,77.61585622792452,Pulikeshinagar(F.Town),No Junction,145,54.7,2,0.735,693.84,6.543681603233723,36.0,207,Medium
Kodigehalli_13.062_77.592,267,466.0,13.06300323258427,77.59202442397003,Kodigehalli,No Junction,55,20.6,2,0.741,690.61,6.539022212929588,36.0,208,Medium
Rajajinagar_13.02_77.532,215,573.5,13.019360329302325,77.53185881860465,Rajajinagar,No Junction,103,47.9,2,0.597,684.76,6.530527712285212,35.9,209,Medium
HAL Old Airport_12.942_77.697,247,492.5,12.942416623821035,77.69712984847725,HAL Old Airport,No Junction,162,65.6,2,0.685,674.72,6.515778789054528,35.8,210,Medium
Malleshwaram_13.008000000000001_77.553,266,448.5,13.009201473684211,77.5543465056391,Malleshwaram,No Junction,154,57.9,2,0.738,661.99,6.496759907115854,35.7,211,Medium
Yeshwanthpura_13.029_77.541,276,426.0,13.02832811398756,77.5412175658901,Yeshwanthpura,No Junction,149,54.0,2,0.766,652.63,6.48254144212524,35.6,212,Medium
Kodigehalli_13.05_77.592,255,455.5,13.05034058392157,77.59288525960784,Kodigehalli,No Junction,58,22.7,2,0.708,644.99,6.470784023786626,35.5,213,Medium
Chikkajala_13.188_77.682,274,425.5,13.186875103284672,77.68078652335767,Chikkajala,No Junction,58,21.2,2,0.76,646.76,6.473520257377859,35.5,214,Medium
K.R. Pura_13.047_77.751,209,546.0,13.04591809138756,77.75037466889952,K.R. Pura,No Junction,78,37.3,2,0.58,633.36,6.4526166166304,35.4,215,Medium
Devanahalli Airport_13.191_77.682,273,421.5,13.190594844322344,77.68069833040293,Devanahalli Airport,No Junction,108,39.6,2,0.757,638.15,6.460139168614031,35.4,216,Medium
Hulimavu_12.876_77.595,305,366.5,12.876236350163936,77.59548326,Hulimavu,No Junction,115,37.7,2,0.846,620.12,6.431524299980645,35.2,217,Medium
BTP085 - Briyand Circle,166,447.5,12.966068878313253,77.56948985903615,Chamarajpet,BTP085 - Briyand Circle,81,48.8,3,0.461,618.89,6.4295420429436225,35.2,218,Medium
R.T. Nagar_13.023_77.586,230,451.0,13.023482263478261,77.58493061565217,R.T. Nagar,No Junction,155,67.4,2,0.638,575.48,6.356940646999783,34.6,219,Medium
Vijayanagara_12.963000000000001_77.541,288,359.0,12.964323654513889,77.54084564861111,Vijayanagara,No Junction,120,41.7,2,0.799,573.68,6.3538133641425185,34.6,220,Medium
Hulimavu_12.876_77.649,213,468.0,12.875714428638497,77.64808992957747,Hulimavu,No Junction,33,15.5,2,0.591,553.18,6.317489543722835,34.3,221,Medium
Halasur_12.975_77.625,231,422.0,12.974593171933538,77.6246609602175,Halasur,No Junction,125,54.1,2,0.641,541.0,6.295266001439646,34.2,222,Medium
High ground_12.99_77.598,249,395.5,12.989207303614458,77.59886667991968,High ground,No Junction,140,56.2,2,0.691,546.58,6.305508569737817,34.2,223,Medium
BTP034 - LRDE Junction,217,299.5,12.988339276825316,77.5917559860704,High ground,BTP034 - LRDE Junction,171,78.8,3,0.602,540.9,6.295081482572068,34.1,224,Medium
Bellandur_12.921000000000001_77.664,239,398.5,12.920968028571624,77.66528970839194,Bellandur,No Junction,143,59.8,2,0.663,528.41,6.271763178923251,34.0,225,Medium
BTP052 - CID Carlton House Junction,198,322.5,12.980863155860892,77.58762164743166,Cubbon Park,BTP052 - CID Carlton House Junction,124,62.6,3,0.549,531.16,6.276944196004563,34.0,226,Medium
Devanahalli Airport_13.188_77.679,233,402.5,13.188332045064376,77.68036555021459,Devanahalli Airport,No Junction,61,26.2,2,0.647,520.84,6.257361027487841,33.9,227,Medium
HAL Old Airport_12.948_77.7,249,379.5,12.948115928274744,77.69923699101544,HAL Old Airport,No Junction,199,79.9,2,0.691,524.47,6.264293100200241,33.9,228,Medium
Hulimavu_12.885_77.643,204,456.5,12.884763445646573,77.64206126773715,Hulimavu,No Junction,12,5.9,2,0.566,516.76,6.249511814430072,33.8,229,Medium
BTP119 - Minerva Circle,199,306.5,12.955163112562813,77.58039649145728,City Market,BTP119 - Minerva Circle,122,61.3,3,0.552,507.56,6.231583202628153,33.7,230,Medium
Hulimavu_12.888_77.64,179,503.0,12.887556301886328,77.6404973796073,Hulimavu,No Junction,31,17.3,2,0.497,499.98,6.216566180128353,33.6,231,Medium
BTP207 - 8th Main Road Basaveshwara Nagar,213,281.0,12.991897484976526,77.53847353051643,Vijayanagara,BTP207 - 8th Main Road Basaveshwara Nagar,86,40.4,3,0.591,498.21,6.213026848905861,33.5,232,Medium
Kodigehalli_13.026_77.58,213,407.0,13.026976123622452,77.57944823862893,Kodigehalli,No Junction,92,43.2,2,0.591,481.07,6.178089331721772,33.3,233,Medium
BTP184 - Lalbagh West Gate,215,269.5,12.94843504744186,77.58018114418606,Basavanagudi,BTP184 - Lalbagh West Gate,122,56.7,3,0.597,482.67,6.181402855991089,33.3,234,Medium
HSR Layout_12.906_77.628,196,447.5,12.906855646428571,77.62924175714286,HSR Layout,No Junction,57,29.1,2,0.544,486.88,6.190069473975037,33.3,235,Medium
"BTP176 - Rajalakshmi Kalyana Mantapa, JP Nagar",196,291.0,12.917309109693877,77.57831904234695,Jayanagara,"BTP176 - Rajalakshmi Kalyana Mantapa, JP Nagar",113,57.7,3,0.544,474.91,6.165228760724117,33.2,236,Medium
BTP079 - Town Hall Junction,162,344.5,12.964742432716049,77.58478980123456,Halasuru Gate,BTP079 - Town Hall Junction,97,59.9,3,0.45,465.08,6.144357293211124,33.0,237,Medium
BTP047 - Vidhan Soudha Metro Station,200,279.0,12.979835985,77.59251278949999,Cubbon Park,BTP047 - Vidhan Soudha Metro Station,127,63.5,3,0.555,464.54,6.143198022133913,33.0,238,Medium
Thalagattapura_12.888_77.562,265,313.0,12.888332545957228,77.56256900807693,Thalagattapura,No Junction,132,49.8,2,0.735,460.11,6.133636626247068,32.9,239,Medium
Chikkajala_13.182_77.679,186,432.5,13.183412538817205,77.67972912069894,Chikkajala,No Junction,67,36.0,2,0.516,446.34,6.103318931882124,32.7,240,Medium
Kamakshipalya_12.99_77.502,254,312.5,12.98957251087716,77.50146448566929,Kamakshipalya,No Junction,159,62.6,2,0.705,440.62,6.090449783792404,32.6,241,Medium
Kodigehalli_13.065_77.589,228,348.0,13.06374448245614,77.58935134035087,Kodigehalli,No Junction,25,11.0,2,0.633,440.57,6.090336557872605,32.6,242,Medium
Madiwala_12.906_77.628,221,361.5,12.906707893473381,77.62848601801815,Madiwala,No Junction,83,37.6,2,0.613,443.2,6.096274911460327,32.6,243,Medium
"BTP177 - Aurobindo Circle, ORR",186,282.5,12.916612181720431,77.58524550268818,J.P. Nagar,"BTP177 - Aurobindo Circle, ORR",81,43.5,3,0.516,437.31,6.082926422587722,32.5,244,Medium
BTP216 - Yediyur Junction,172,301.5,12.93804460616813,77.57688296083747,Basavanagudi,BTP216 - Yediyur Junction,106,61.6,3,0.477,431.45,6.069466712752521,32.4,245,Medium
City Market_12.969_77.574,176,438.0,12.969250932406164,77.5753055016795,City Market,No Junction,142,80.7,2,0.488,427.49,6.060267400542647,32.4,246,Medium
Hulimavu_12.891_77.637,190,400.5,12.891792832630177,77.63784693096036,Hulimavu,No Junction,28,14.7,2,0.527,422.13,6.047679460435717,32.3,247,Medium
Madiwala_12.927_77.619,201,375.5,12.925821052238806,77.6191487756219,Madiwala,No Junction,93,46.3,2,0.558,419.06,6.040397558217161,32.2,248,Medium
R.T. Nagar_13.023_77.592,245,307.0,13.023110674693879,77.59272280653062,R.T. Nagar,No Junction,153,62.4,2,0.68,417.52,6.036724678512846,32.2,249,Medium
Sadashivanagar_13.029_77.571,251,302.5,13.028708005179283,77.57128726733067,Sadashivanagar,No Junction,185,73.7,2,0.696,421.08,6.04519486952895,32.2,250,Medium
BTP146 - Domlur Water Tank,146,345.5,12.960488461643836,77.63886880273972,Halasur,BTP146 - Domlur Water Tank,82,56.2,3,0.405,419.78,6.042110131776874,32.2,251,Medium
"BTP145 - Sri Hatti Maramma Circle, Domluru",175,289.0,12.961282601803124,77.63615441362482,Halasur,"BTP145 - Sri Hatti Maramma Circle, Domluru",85,48.6,3,0.486,421.36,6.045858030938314,32.2,252,Medium
Magadi Road_12.963000000000001_77.556,186,395.0,12.964325882795698,77.5552021516129,Magadi Road,No Junction,47,25.3,2,0.516,407.64,6.0128345728441746,32.0,253,Medium
Jeevanbheemanagar_12.969_77.649,223,321.0,12.969045075040606,77.64863891901308,Jeevanbheemanagar,No Junction,94,42.2,2,0.619,397.4,5.987456525710443,31.8,254,Medium
"BTP033 - Sophia High School, Sankey Road",208,228.0,12.990444546153846,77.58866545673077,High ground,"BTP033 - Sophia High School, Sankey Road",86,41.3,3,0.577,394.67,5.980580530505903,31.8,255,Medium
"BTP102 - BMTC Junction, KH Road",175,274.0,12.955459190857143,77.59290232228571,Wilson Garden,"BTP102 - BMTC Junction, KH Road",137,78.3,3,0.486,399.49,5.992688797407675,31.8,256,Medium
Sheshadripuram_12.99_77.571,226,308.0,12.9905737960177,77.57183365132744,Sheshadripuram,No Junction,104,46.0,2,0.627,386.23,5.959018831739896,31.6,257,Medium
Rajajinagar_13.008000000000001_77.544,209,330.5,13.008456653588517,77.54304870956938,Rajajinagar,No Junction,94,45.0,2,0.58,383.38,5.951631646606258,31.5,258,Medium
Whitefield_12.987_77.736,260,262.5,12.987232090384616,77.73516276115384,Whitefield,No Junction,78,30.0,2,0.721,378.52,5.9389072963693055,31.4,259,Medium
Pulikeshinagar(F.Town)_12.993_77.61,210,317.0,12.993618310952382,77.60987583285714,Pulikeshinagar(F.Town),No Junction,42,20.0,2,0.583,369.62,5.915177278935863,31.3,260,Medium
Pulikeshinagar(F.Town)_12.999_77.625,192,351.0,12.999303367187501,77.62483995052084,Pulikeshinagar(F.Town),No Junction,59,30.7,2,0.533,374.17,5.927379256579233,31.3,261,Medium
Shivajinagar_12.984_77.607,232,285.5,12.984509620227815,77.6073305698276,Shivajinagar,No Junction,150,64.7,2,0.644,367.72,5.9100375484122525,31.2,262,Medium
BTP105 - Shivasankara Circle,186,238.0,12.956902590860215,77.57416609784947,V.V.Puram (C.Pet),BTP105 - Shivasankara Circle,55,29.6,3,0.516,368.42,5.911934208151174,31.2,263,Medium
Kamakshipalya_12.987_77.52,241,272.5,12.987122598519731,77.5195472514099,Kamakshipalya,No Junction,123,51.0,2,0.669,364.6,5.901539839579995,31.1,264,Medium
BTP173 - TMC,152,278.0,12.98232968486842,77.59871615789473,Shivajinagar,BTP173 - TMC,120,78.9,3,0.422,351.95,5.866326403841481,30.9,265,Medium
Electronic City_12.843_77.649,242,262.0,12.841629822727272,77.64762293760332,Electronic City,No Junction,10,4.1,2,0.671,351.6,5.86533426996377,30.9,266,Medium
Bellandur_12.906_77.697,189,331.0,12.906803235936552,77.69670433224184,Bellandur,No Junction,122,64.6,2,0.524,346.89,5.85188633785286,30.8,267,Medium
Mahadevapura_12.987_77.733,249,251.5,12.98795359317269,77.73408276024097,Mahadevapura,No Junction,45,18.1,2,0.691,347.57,5.85383907086288,30.8,268,Medium
Bellandur_12.918000000000001_77.673,186,332.5,12.917172250890006,77.67285434274193,Bellandur,No Junction,107,57.5,2,0.516,343.14,5.841048551325011,30.7,269,Medium
Jalahalli_13.05_77.526,249,249.0,13.050488885140563,77.5255347192771,Jalahalli,No Junction,123,49.4,2,0.691,344.12,5.843892182640846,30.7,270,Medium
Magadi Road_12.966000000000001_77.556,200,310.0,12.9647111725,77.55489921350001,Magadi Road,No Junction,90,45.0,2,0.555,344.1,5.843834230103957,30.7,271,Medium
BTP122 - Siddapura Junction,146,278.5,12.948400291780821,77.59279610068494,Wilson Garden,BTP122 - Siddapura Junction,83,56.8,3,0.405,338.38,5.82712042354468,30.6,272,Medium
Halasur_12.972_77.622,170,357.0,12.97315359,77.62184596470588,Halasur,No Junction,76,44.7,2,0.472,337.01,5.823075480844184,30.6,273,Medium
Whitefield_12.897_77.721,173,350.0,12.896647204046245,77.72005516300578,Whitefield,No Junction,112,64.7,2,0.48,336.0,5.820082930352362,30.5,274,Medium
BTP132 - Anepalya Junction,158,254.0,12.951251251265823,77.60690484050633,Ashok Nagar,BTP132 - Anepalya Junction,49,31.0,3,0.438,333.76,5.813413857164673,30.5,275,Medium
Yeshwanthpura_13.026_77.544,206,289.0,13.027116202912621,77.54343244951457,Yeshwanthpura,No Junction,110,53.4,2,0.572,330.62,5.803989735073227,30.4,276,Medium
Kodigehalli_13.062_77.586,190,315.0,13.062407110526316,77.58699167789474,Kodigehalli,No Junction,25,13.2,2,0.527,332.01,5.808172519559582,30.4,277,Medium
"BTP168 - MSR Building, JC Road",132,300.5,12.961180810606061,77.58428897045455,Halasuru Gate,"BTP168 - MSR Building, JC Road",54,40.9,3,0.366,329.95,5.801967306564932,30.4,278,Low
BTP203 - RRMR Junction,130,295.5,12.96743880076923,77.59360017,Halasuru Gate,BTP203 - RRMR Junction,48,36.9,3,0.361,320.03,5.77153457670702,30.2,279,Low
BTP103 - Shanti Nagar TTMC,144,266.0,12.9538741625,77.59162276111111,Wilson Garden,BTP103 - Shanti Nagar TTMC,98,68.1,3,0.4,319.2,5.768945800562614,30.1,280,Low
Malleshwaram_13.002_77.568,187,306.5,13.001634526737968,77.56923961336899,Malleshwaram,No Junction,135,72.2,2,0.519,318.15,5.765661211702066,30.1,281,Low
Magadi Road_12.963000000000001_77.553,225,252.5,12.96433658,77.553265032,Magadi Road,No Junction,81,36.0,2,0.624,315.12,5.756121888336774,30.0,282,Low
Pulikeshinagar(F.Town)_12.987_77.619,204,276.0,12.987352027853111,77.61879614560723,Pulikeshinagar(F.Town),No Junction,125,61.3,2,0.566,312.43,5.747576049654617,30.0,283,Low
HSR Layout_12.891_77.64,168,335.5,12.89069310034574,77.63927385910426,HSR Layout,No Junction,96,57.1,2,0.466,312.69,5.748405237098477,30.0,284,Low
Yeshwanthpura_13.02_77.559,193,287.0,13.018885520693713,77.55802153970191,Yeshwanthpura,No Junction,103,53.4,2,0.536,307.66,5.732240347472685,29.9,285,Low
Malleshwaram_12.996_77.568,178,311.5,12.99704287022472,77.56843942022472,Malleshwaram,No Junction,140,78.7,2,0.494,307.76,5.732564276081653,29.9,286,Low
High ground_12.993_77.589,228,232.5,12.992449911842105,77.58992676140352,High ground,No Junction,36,15.8,2,0.633,294.35,5.688161093753244,29.5,287,Low
Hulimavu_12.876_77.598,214,244.5,12.876280314485982,77.59671116728973,Hulimavu,No Junction,127,59.3,2,0.594,290.47,5.674937084542365,29.4,288,Low
Jeevanbheemanagar_12.969_77.637,179,290.0,12.969755315642457,77.63705981564246,Jeevanbheemanagar,No Junction,103,57.5,2,0.497,288.26,5.667325937645586,29.4,289,Low
Mico Layout_12.927_77.61,127,401.0,12.926655312598424,77.60894206535434,Mico Layout,No Junction,46,36.2,2,0.352,282.3,5.646506406836471,29.2,290,Low
High ground_12.996_77.589,221,228.0,12.994852394117647,77.58972789095021,High ground,No Junction,64,29.0,2,0.613,279.53,5.636680671115465,29.1,291,Low
Electronic City_12.819_77.688,197,253.0,12.81887347969543,77.68877192944163,Electronic City,No Junction,86,43.7,2,0.547,276.78,5.626829433488073,29.1,292,Low
BTP106 - VV Puram College,159,210.5,12.952855020536774,77.57449485352718,V.V.Puram (C.Pet),BTP106 - VV Puram College,34,21.4,3,0.441,278.49,5.632966513779786,29.1,293,Low
Kodigehalli_13.068_77.592,180,280.0,13.068541089863396,77.59270575497234,Kodigehalli,No Junction,89,49.4,2,0.499,279.44,5.636359798338767,29.1,294,Low
"BTP094 - Sri Skanda Complex, Mysore Road",112,297.5,12.955815682142857,77.54617815178571,Byatarayanapura,"BTP094 - Sri Skanda Complex, Mysore Road",54,48.2,3,0.311,277.57,5.629669374284202,29.1,295,Low
Chikkajala_13.122_77.631,156,318.5,13.121987412500001,77.6309828727564,Chikkajala,No Junction,44,28.2,2,0.433,275.82,5.623367475468556,29.0,296,Low
Yelahanka_13.092_77.595,212,223.0,13.093093006132076,77.5941064240566,Yelahanka,No Junction,147,69.3,2,0.588,262.25,5.573104151014085,28.6,297,Low
HAL Old Airport_12.96_77.703,176,267.0,12.960397696577163,77.70167097443499,HAL Old Airport,No Junction,81,46.0,2,0.488,260.59,5.566778392552706,28.6,298,Low
BTP196 - Sarakki Main Road,138,226.5,12.910996460923245,77.57833824855072,J.P. Nagar,BTP196 - Sarakki Main Road,19,13.8,3,0.383,260.25,5.565477803279021,28.6,299,Low
